Primary Key,Year,Company Market Cap,ESG Controversies Score,ESG Score,Independent Board Members,Return on Assets - Actual,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name
MUL.L_2022,2022,156189035.9,100,24.11746099,25.00%,0.1164,0.4577,1.8188417,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2021,2021,228793556.7,100,21.09593835,22.22%,,,4.1990271,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2020,2020,153351167.7,100,21.05492016,0.00%,,,7.2567857,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2019,2019,202518147.7,,,0.00%,,,0.055497,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2018,2018,198037019,,,0.00%,0.0508,0.0692,,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2017,2017,713204877.7,,,0.00%,0.0539,0.0738,,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
MUL.L_2016,2016,770887105.8,,,0.00%,0.0293,0.04032,,MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2025,2025,991699058.3,,,80.00%,0.0798,0.1288,0.3276385,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2024,2024,790313136.3,100,47.95582272,75.00%,0.10321,0.18123,0.3717262,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2023,2023,855321502.8,100,50.0910845,87.50%,0.12565,0.25,0.4666836,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2022,2022,864178789,100,55.24718037,88.89%,0.1022,0.18079,0.3057842,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2021,2021,766383154.3,100,53.66852112,85.71%,0.0468,0.095,0.5557515,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
NEWAb.ST_2020,2020,252211861.1,100,54.17933473,85.71%,0.0486,0.103,0.8794388,NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC)
