Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Total Debt Percentage of Total Equity: 2025,Total Debt Percentage of Total Equity: 2024,Total Debt Percentage of Total Equity: 2023,Total Debt Percentage of Total Equity: 2022,Total Debt Percentage of Total Equity: 2021,Total Debt Percentage of Total Equity: 2020,Total Debt Percentage of Total Equity: 2019,Total Debt Percentage of Total Equity: 2018,Total Debt Percentage of Total Equity: 2017,Total Debt Percentage of Total Equity: 2016,Return on Assets - Actual: 2025,Return on Assets - Actual: 2024,Return on Assets - Actual: 2023,Return on Assets - Actual: 2022,Return on Assets - Actual: 2021,Return on Assets - Actual: 2020,Return on Assets - Actual: 2019,Return on Assets - Actual: 2018,Return on Assets - Actual: 2017,Return on Assets - Actual: 2016,Return on Equity - Actual: 2025,Return on Equity - Actual: 2024,Return on Equity - Actual: 2023,Return on Equity - Actual: 2022,Return on Equity - Actual: 2021,Return on Equity - Actual: 2020,Return on Equity - Actual: 2019,Return on Equity - Actual: 2018,Return on Equity - Actual: 2017,Return on Equity - Actual: 2016,Company Market Cap: 2025,Company Market Cap: 2024,Company Market Cap: 2023,Company Market Cap: 2022,Company Market Cap: 2021,Company Market Cap: 2020,Company Market Cap: 2019,Company Market Cap: 2018,Company Market Cap: 2017,Company Market Cap: 2016,Independent Board Members: 2025,Independent Board Members: 2024,Independent Board Members: 2023,Independent Board Members: 2022,Independent Board Members: 2021,Independent Board Members: 2020,Independent Board Members: 2019,Independent Board Members: 2018,Independent Board Members: 2017,Independent Board Members: 2016,ESG Score: 2025,ESG Score: 2024,ESG Score: 2023,ESG Score: 2022,ESG Score: 2021,ESG Score: 2020,ESG Score: 2019,ESG Score: 2018,ESG Score: 2017,ESG Score: 2016,ESG Score: 2015,ESG Score: 2014,ESG Controversies Score: 2025,ESG Controversies Score: 2024,ESG Controversies Score: 2023,ESG Controversies Score: 2022,ESG Controversies Score: 2021,ESG Controversies Score: 2020,ESG Controversies Score: 2019,ESG Controversies Score: 2018,ESG Controversies Score: 2017,ESG Controversies Score: 2016,ESG Controversies Score: 2015,ESG Controversies Score: 2014
0116.HK,Chow Sang Sang Holdings International Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.4808737,0.4622167,0.4738815,0.3238054,0.3043717,0.4226586,0.2296657,0.2613436,0.250338,0.2388564,,,0.02459,0.0368,0.03739,0.06469,0.0736,0.06775,0.0613,0.07648,,,0.0367,0.0519,0.05458,0.0925,0.09855,0.09147,0.08194,0.10465,896799882.7,542898645.6,705928408.2,838102486.5,833196895.5,629646690.8,751704889.7,876404916.4,1363661760,1195749704,58.33%,54.55%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,42.8855299,42.28066894,42.56585158,,,,,,,,,,100,100,100,,,,,,,,
1929.HK,Chow Tai Fook Jewellery Group Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.7589091,1.1176007,0.6626598,0.7518398,0.4320664,0.9080131,0.5753654,0.3888368,0.3079366,0.4037298,0.0716,0.07379,0.0615,0.0883,0.09223,0.04551,0.0764,0.07656,0.05815,0.05037,0.2269,0.247,0.16309,0.2085,0.20522,0.083,0.14264,0.12557,0.09161,0.07914,13375762912,8358375450,13467610575,19048143927,15819842992,10297976085,8531254172,7270175062,8749458567,7274365819,43.75%,41.18%,41.18%,33.33%,33.33%,31.58%,0.00%,0.00%,0.00%,0.00%,,62.1656517,67.28710714,66.9047147,53.5857271,52.95993515,42.30527804,,,,,,,100,100,100,100,100,100,,,,,
002867.SZ,Chow Tai Seng Jewellery Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.0941906,0.1115529,0.1131479,0.0348576,0.0341274,0.0395183,0.1694057,0.0073627,0.1165754,0.2289563,0.12643,0.1685,0.14919,0.17914,0.16089,0.1679,0.15702,0.17583,,,0.15721,0.2109,0.1844,0.2133,0.2013,0.2291,0.2218,0.216,,,1609013214,2107161886,2123830525,2083046748,2699158220,2444006413,1783201874,1705623132,1698960998,,43.75%,36.36%,36.36%,41.67%,36.36%,0.00%,0.00%,0.00%,0.00%,0.00%,,38.951004,20.6973572,19.92401904,20.02544539,22.26198596,,,,,,,,100,100,100,100,100,,,,,,
DIOR.PA,Christian Dior SE,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.6093759,0.638565,0.6462975,0.7433951,1.044228,0.7167175,0.3265974,0.3806,,,,,,,0.0343,0.0343,0.03258,,,,,,,,0.2339,0.1906,0.18206,,,,1.07492E+11,1.09207E+11,1.27709E+11,1.22926E+11,1.3177E+11,82058716774,82455833309,60271459592,54973563998,36209114314,44.44%,44.44%,40.00%,44.44%,44.44%,44.44%,44.44%,36.36%,44.44%,50.00%,,77.32465552,73.36508201,69.38961837,71.53165374,63.51303951,71.67057252,71.01028198,58.06486988,56.56234152,51.56348634,,,20.45454545,100,100,100,100,100,100,100,100,100,
7762.T,Citizen Watch Co Ltd,Textiles & Apparel,Apparel & Accessories,Watches,0.2649812,0.2785339,0.3048351,0.2817244,0.3569603,0.2453085,0.1961674,0.1921066,0.2196658,0.2900758,0.055,0.077,0.05564,0.0582,-0.06846,0.019,0.065,0.066,0.055,0.03248,0.095,0.097,0.10198,0.1113,-0.12164,-0.07,0.052,0.078,0.071,0.05798,1712608047,1407753172,1328977819,1242507549,1201608774,728592603.9,1539659966,1377007290,1960153233,1822534950,33.33%,40.00%,30.00%,30.00%,33.33%,20.00%,22.22%,20.00%,33.33%,25.00%,,50.44391666,52.21666363,54.76737413,51.23406724,55.64861501,50.27722338,53.10467454,36.90275166,37.95772751,45.33508371,,,61.36363636,100,100,100,100,100,100,100,100,100,
COA.L,Coats Group PLC,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),1.7921289,1.0235833,1.0332001,0.6048622,0.9987457,1.116074,1.1990632,1.1598453,4.3769231,,0.0915,,,,,,0.0764,,,,0.3367,0.2089,0.1973,0.23539,0.1158,0.3402,0.3608,0.5844,0.3253,,1858547387,1822718439,1426427511,1195623352,1196259894,1094070943,1274849506,1294071752,1419188729,900167568.1,72.73%,70.00%,70.00%,60.00%,63.64%,70.00%,72.73%,70.00%,54.55%,50.00%,,79.06702585,78.30243816,73.38870424,81.06951222,84.0307347,82.78865813,80.74343035,79.68620415,59.97216499,46.61685427,,,100,100,100,100,100,100,100,100,100,100,
COLM.OQ,Columbia Sportswear Co,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),,,,,,,,,,0.0088858,0.07549,0.0839,0.10179,0.12,0.0375,0.1225,0.1231,0.0994,0.0994,,0.12009,0.1298,0.15869,0.1853,0.0587,0.1843,0.1712,0.132,0.1296,,2527673498,4636641361,4361011830,5083053180,5590022929,4737251654,6035169164,5059451171,4186991551,3870720273,88.89%,90.00%,88.89%,88.89%,75.00%,72.73%,72.73%,72.73%,72.73%,0.00%,,,57.43048255,55.6896879,55.79072932,61.71161044,56.38308888,59.78054756,57.22958616,51.64412271,46.26216472,,,,100,100,100,100,100,100,100,100,100,
CFR.S,Compagnie Financiere Richemont SA,Textiles & Apparel,Apparel & Accessories,Jewelry,0.5916268,0.7914708,0.8239655,0.755475,0.7577164,0.5645171,0.4143436,0.5594343,0.1378067,0.1646175,0.089,0.08779,0.0941,0.0566,0.04,0.03359,0.0547,0.0534,0.0601,0.1098,0.1748,0.21809,0.1964,0.1134,0.0754,0.05769,0.0929,0.081,0.0792,0.1511,99497361004,78823996080,67004223587,63264864042,69121144914,38591422790,36585880202,29221120801,39436777467,32904996738,61.11%,65.00%,75.00%,72.73%,66.67%,65.00%,65.00%,55.56%,50.00%,47.37%,68.06018871,63.59843699,69.04936105,76.77154422,69.68045005,68.2152093,67.82647149,65.19465531,59.0911135,61.03565558,,,33.92857143,100,71.42857143,100,100,100,100,100,100,100,,
CROX.OQ,Crocs Inc,Textiles & Apparel,Footwear,Footwear (NEC),0.7350414,1.1447126,2.8393459,54.7784406,0.6193378,1.5541488,0.7983607,0.0037524,0.0059557,,0.1666,0.163,0.22399,0.3978,0.23699,0.19149,-0.1367,0.0211,-0.0458,,0.47899,0.6564,1.62819,3.47759,1.0439,0.8193,-0.4118,0.0576,-0.1152,,3655277539,5977419026,5126456077,6255810984,6637397199,3463016449,2563749285,1513208582,734078077.4,479910200.4,88.89%,87.50%,87.50%,88.89%,90.00%,87.50%,77.78%,77.78%,87.50%,0.00%,,63.13675396,63.27886694,68.39818285,60.38023127,5.229710877,32.76024615,29.66547315,18.9447521,15.95163168,,,,15.90909091,39.28571429,100,100,100,100,100,100,100,,
CULP.OQ,Culp Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.220576,0.0070275,0.0030871,0.0023012,,0.2958488,,,,,,,,-0.0164,0.03379,,,,,,,,,-0.026,0.0561,,,,,,38382048.08,71208164.06,65423255.06,52726666.67,102143568.2,159879892.4,150803505.1,204969384.1,347266709.3,435061506.7,80.00%,77.78%,75.00%,80.00%,71.43%,71.43%,71.43%,66.67%,66.67%,0.00%,34.91496825,30.46723075,27.21968325,26.78958648,24.15936076,23.44815136,22.05134112,19.13467655,19.08944564,,,,100,100,100,100,100,100,100,100,100,,,
