Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Total Debt Percentage of Total Equity: 2025,Total Debt Percentage of Total Equity: 2024,Total Debt Percentage of Total Equity: 2023,Total Debt Percentage of Total Equity: 2022,Total Debt Percentage of Total Equity: 2021,Total Debt Percentage of Total Equity: 2020,Total Debt Percentage of Total Equity: 2019,Total Debt Percentage of Total Equity: 2018,Total Debt Percentage of Total Equity: 2017,Total Debt Percentage of Total Equity: 2016,Return on Assets - Actual: 2025,Return on Assets - Actual: 2024,Return on Assets - Actual: 2023,Return on Assets - Actual: 2022,Return on Assets - Actual: 2021,Return on Assets - Actual: 2020,Return on Assets - Actual: 2019,Return on Assets - Actual: 2018,Return on Assets - Actual: 2017,Return on Assets - Actual: 2016,Return on Equity - Actual: 2025,Return on Equity - Actual: 2024,Return on Equity - Actual: 2023,Return on Equity - Actual: 2022,Return on Equity - Actual: 2021,Return on Equity - Actual: 2020,Return on Equity - Actual: 2019,Return on Equity - Actual: 2018,Return on Equity - Actual: 2017,Return on Equity - Actual: 2016,Company Market Cap: 2025,Company Market Cap: 2024,Company Market Cap: 2023,Company Market Cap: 2022,Company Market Cap: 2021,Company Market Cap: 2020,Company Market Cap: 2019,Company Market Cap: 2018,Company Market Cap: 2017,Company Market Cap: 2016,Independent Board Members: 2025,Independent Board Members: 2024,Independent Board Members: 2023,Independent Board Members: 2022,Independent Board Members: 2021,Independent Board Members: 2020,Independent Board Members: 2019,Independent Board Members: 2018,Independent Board Members: 2017,Independent Board Members: 2016,ESG Score: 2025,ESG Score: 2024,ESG Score: 2023,ESG Score: 2022,ESG Score: 2021,ESG Score: 2020,ESG Score: 2019,ESG Score: 2018,ESG Score: 2017,ESG Score: 2016,ESG Score: 2015,ESG Score: 2014,ESG Controversies Score: 2025,ESG Controversies Score: 2024,ESG Controversies Score: 2023,ESG Controversies Score: 2022,ESG Controversies Score: 2021,ESG Controversies Score: 2020,ESG Controversies Score: 2019,ESG Controversies Score: 2018,ESG Controversies Score: 2017,ESG Controversies Score: 2016,ESG Controversies Score: 2015,ESG Controversies Score: 2014
KTB.N,Kontoor Brands Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.8505331,2.1078075,3.1899369,5.3434365,10.799388,13.2021168,0.1580125,0.2017876,,,0.167,0.1503,0.1642,0.16429,0.0986,0.11019,,,,,0.7135,0.7789,1.28229,2.1728,1.9625,0.2444,,,,,2891638279,4549034634,3177585049,2072565452,2584019275,1899820542,2133007116,,,,88.89%,87.50%,87.50%,87.50%,85.71%,85.71%,0.00%,0.00%,0.00%,0.00%,,52.28555173,55.49171145,66.34207381,56.8541734,66.9268212,51.78780864,,,,,,,100,100,100,100,100,100,,,,,
KORDS.IS,Kordsa Teknik Tekstil AS,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,1.083666,0.7855384,0.8422418,0.6839009,0.9088311,1.104467,0.6495666,0.3836862,0.3635357,,,,,0.11284,0.0711,0.0207,,,,0.06065,,,,0.189,0.1964,0.0634,,0.2031,,0.1349,186876949.5,380736590.7,463446223.5,940532984,404792888.3,333262962.3,381612573.6,313713502.1,328260176.3,338938080.6,28.57%,25.00%,33.33%,33.33%,28.57%,25.00%,45.45%,0.00%,0.00%,0.00%,,81.70544126,79.18367351,85.93673165,83.27966753,78.08405221,66.148464,74.88140929,,,,,,100,100,100,100,100,100,100,,,,
KPRM.NS,KPR Mill Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.0931547,0.2658006,0.3636911,0.3719064,0.2797244,0.4221302,0.4783512,0.4125785,0.6057887,0.8020443,0.13789,,,,,,,0.1175,0.1202,,0.1742,0.19969,0.2362,0.3041,0.2444,0.2061,0.1993,0.2034,0.2404,0.2061,3052468265,3836678886,3070844912,1995300846,2720153256,674954439.3,566466783.1,509612010.9,774321983.7,601404414.4,53.85%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,41.31266117,47.39249167,45.63144948,47.55744593,,,,,,,,,100,100,100,100,,,,,,,,
LAKE.OQ,Lakeland Industries Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.1184306,0.0083354,0.0033753,,,0.0135799,0.015848,0.0202921,0.0808872,0.1988418,,,,,,,,,,,,,,,,,0.0176,0.0815,,,73807207.02,182761012.7,123725341.4,90968029.66,148999598.6,178944199.8,77139776.28,73910439.12,98441584.63,71836360.51,85.71%,77.78%,77.78%,71.43%,66.67%,80.00%,80.00%,0.00%,0.00%,0.00%,21.09834785,28.62413614,32.20687773,26.54350922,25.14291922,26.33267251,23.3649429,,,,,,83.92857143,100,100,100,100,100,100,,,,,
LAMB.KL,Lambo Group Bhd,Textiles & Apparel,Footwear,Footwear Wholesale,0.0694238,0.0380343,0.0605966,,0.0007303,,,,,,,,,,,,,,,,,,,,,,,,,,1616897.316,1665138.796,6082319.828,17993028.86,26238533.74,23679920.86,18343999.83,52940794.1,103857745.4,52980989.45,80.00%,66.67%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,24.71230353,21.1338069,22.76925139,,,,,,,,,,100,100,100,,,,,,,,
600612.SS,Lao Feng Xiang Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.4207724,0.6571903,0.996998,0.8806967,0.8742254,0.9807566,0.9137521,0.7948872,1.0542173,0.5221099,0.08289,0.088,0.07044,0.08969,0.095,0.08619,0.08364,0.08269,0.08256,,0.16199,0.2041,0.176,0.2174,0.2103,0.2116,0.2033,0.2113,0.2183,,2321867732,2984486279,3437548161,2401754833,2631244363,2292650044,2535667744,2399231401,2308043930,2290541351,33.33%,44.44%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,5.283110209,13.23684528,9.974452454,,,,,,,,,,100,100,100,,,,,,,,
LEVI.N,Levi Strauss & Co,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.5072317,0.4993647,0.5232967,0.6163091,1.2038177,0.6454529,1.0885114,1.3187903,1.7941132,,0.0809,0.0729,0.1012,0.1041,0.0169,0.1173,,,,,0.2503,0.2231,0.3384,0.4151,0.0599,0.4103,,,,,6893535001,6607100001,5955209866,5709854364,8802255618,6542076990,6775654395,,,,84.62%,91.67%,92.31%,91.67%,91.67%,0.00%,0.00%,0.00%,0.00%,0.00%,53.45725002,67.36947882,58.55809174,62.22802605,4.788096984,,,,,,,,25,76.47058824,100,100,100,,,,,,,
093050.KS,LF Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.4680776,0.3887672,0.3117486,0.4272204,0.552149,0.5037349,0.1570124,0.2056924,0.2820711,,,,,,,0.00707,0.03325,0.05126,0.04638,0.03381,0.04869,,,,0.02532,0.0565,0.07346,0.06866,0.04991,,315692221.8,296406034.2,272145779.1,345870807.8,374535104.9,321432398.7,417567883.4,569305210.4,716805508,498335809.5,50.00%,50.00%,50.00%,42.86%,44.44%,0.00%,0.00%,0.00%,0.00%,0.00%,,,31.7397725,19.46768219,16.67213426,19.40999052,8.646288184,,,,,,,,100,100,100,100,100,,,,,
2331.HK,Li Ning Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0740321,0.1038455,0.0880188,0.0627102,0.1207834,0.125533,,,0.1921334,,0.08619,0.09393,0.1272,0.17879,0.12519,0.14089,0.08914,0.07207,0.03736,,0.11929,0.13078,0.1789,0.26929,0.21489,0.2317,0.13138,0.11211,0.07123,,5279826757,5290493023,6367391199,21351156891,25199157788,14012725535,6192058686,2049429353,1471353144,1197988127,57.14%,57.14%,57.14%,57.14%,57.14%,57.14%,50.00%,50.00%,57.14%,50.00%,,47.67349314,47.17271258,45.65468296,43.15965202,44.07126729,45.79978707,32.42752306,40.91345171,40.11655952,39.04369744,,,100,100,29.41176471,100,100,100,100,100,100,100,
LITB.N,LightInTheBox Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,,,0.0201238,0.0018942,0.0033416,0.0362285,,,,,,,,,,,,,,,,,,,0.0551,,,,,,35071681.71,29840154.82,109884998.1,129941434.2,100431303.8,232972373.6,62979051.75,71513470.86,132121930.7,194242950.9,27.27%,27.27%,27.27%,27.27%,27.27%,0.00%,0.00%,0.00%,0.00%,0.00%,,18.63371451,20.62743615,23.14964741,24.03005638,27.42362714,,,,,,,,100,100,100,100,100,,,,,,
LULU.OQ,Lululemon Athletica Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0028677,0.0025519,0.0027312,0.0014598,,,,,,,0.24699,0.2555,0.2444,0.2225,0.1649,0.2406,0.2522,0.1928,0.197,,0.4242,0.4396,0.4378,0.3832,0.273,0.38,0.3385,0.2384,0.2451,,20755615859,44983158586,58463568341,38199263248,44521442549,37142036977,26927206751,14039350521,8869204974,8474088164,90.91%,91.67%,91.67%,83.33%,81.82%,81.82%,80.00%,81.82%,90.91%,85.71%,55.60114616,60.06051236,62.3129061,56.12593867,47.33787693,38.53025452,40.17038693,33.79608487,43.79989246,36.88271189,,,5.357142857,88.63636364,100,44.11764706,100,100,100,100,100,100,,
LUXI.NS,Lux Industries Ltd,Textiles & Apparel,Apparel & Accessories,Knitwear,0.1846698,0.1358877,0.185853,0.2681705,0.136732,0.3393261,0.4397,1.0330217,0.806413,0.9599291,,,,0.1939,,,,,,,,,0.03701,0.29339,0.36159,0.271,0.2707,0.28,,,317188857,682851717.4,425814496.9,558008479.6,1310405099,467723267.2,405599946,429577865.2,499977259.1,261013747.3,50.00%,50.00%,50.00%,46.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,46.04056551,44.0501771,43.09258662,40.42293451,,,,,,,,,100,100,100,76.47058824,,,,,,,,
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.5877437,0.6137861,0.6198679,0.7044307,0.9653094,0.657761,0.3243219,0.3810778,0.2634956,,0.0857,0.109,0.10839,0.1029,0.0458,0.084,0.0882,0.08,0.07,,0.1953,0.2613,0.2755,0.2848,0.1271,0.2082,0.2074,0.1857,0.16175,,3.21008E+11,3.17967E+11,3.68303E+11,3.42165E+11,3.66959E+11,2.57881E+11,2.0935E+11,1.30398E+11,1.24416E+11,91992176416,55.00%,58.82%,56.25%,58.82%,55.56%,58.82%,62.50%,58.82%,55.00%,50.00%,,80.8167317,81.10455075,79.47160333,77.80953654,69.93523508,69.06566031,64.76540214,57.85662634,61.41736985,60.92746889,,,6.818181818,71.42857143,44.11764706,27.77777778,5.555555556,90,85.71428571,75,70,100,
MAGN.N,Magnera Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),1.8345865,,3.3494437,2.657542,1.450645,0.5424877,0.6472761,0.7640537,0.6790478,0.5698886,,,,,,,,,,,,,,,,,,,,,462131704.6,620252653.5,79257943.23,116364834.9,673671364.4,595058931.8,721080700.4,372583085.6,779001418.6,989629313,87.50%,77.78%,90.00%,90.00%,88.89%,88.89%,88.89%,88.89%,90.00%,0.00%,,,62.52429296,56.3630438,66.13724706,64.66579324,63.25468846,57.29340155,63.52704115,47.48375755,35.52870746,,,,100,100,100,100,100,100,100,100,100,
MATE.KL,Magni-Tech Industries Bhd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),,,,,,,,,,,,0.13024,0.1072,,,0.18649,0.181,0.181,,,,0.15046,0.12119,,,0.2141,0.206,0.20899,,,189991437.9,238282962.2,160198963.7,169565794.2,179680301.2,205943445.4,243304617.4,137422903.3,190869517.5,144625334.5,40.00%,50.00%,40.00%,40.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.56503881,21.1371911,21.39228806,24.50869395,13.81778163,,,,,,,,100,100,100,100,100,,,,,,,
1477.TW,Makalot Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.1016288,0.1075792,0.1440344,0.1746374,0.3393847,0.1076158,0.0446421,0.0326404,0.0635683,,0.1712,0.1619,0.1507,0.13,0.11035,0.1341,0.11492,0.10007,0.11411,,0.27019,0.256,0.24179,0.22309,0.20391,0.2119,0.17558,0.14926,0.17261,,1933975058,2333028758,2532100811,1722073909,1903135428,1227909381,1032790421,1018322952,735567731.7,751620254.3,31.25%,23.53%,20.00%,20.00%,23.53%,21.43%,21.43%,0.00%,0.00%,0.00%,,72.33579721,64.92844719,69.80554723,69.63414407,70.35661176,65.88285883,67.89224532,,,,,,100,100,100,100,100,100,100,,,,
MEKKO.HE,Marimekko Oyj,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.4058077,0.5005933,0.6133153,0.4622027,0.7239455,0.9352344,0.0101987,0.1089374,0.2111527,,0.19219,0.1985,0.1835,0.1971,0.1221,0.1691,0.1573,0.1226,0.0853,,0.34509,0.3896,0.36259,0.3981,0.2695,0.3299,0.232,0.1987,0.1454,,527164374.5,492667940.4,541040452.7,356086729.2,688596939.8,370313938.7,291048057.2,168263888,81705061,76689502.8,85.71%,83.33%,87.50%,77.78%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,43.03739656,47.90844365,43.29672307,43.57470381,51.39726113,,,,,,,,100,100,100,100,100,,,,,,
MC.BK,MC Group PCL,Textiles & Apparel,Apparel & Accessories,Jeans,0.3072866,0.3310026,0.2642862,0.2341151,0.3089122,,0.0000163,,0.0227694,0.0383942,,0.13037,0.12338,0.09449,0.09589,0.10553,0.0891,,,,0.2039,0.19122,0.17433,0.1335,0.12429,0.12161,0.1038,,,,242496561.4,238377231.1,275927806.7,224515180.6,191783995.2,214065437.5,175398396.8,234327891.8,323712147.5,320605357.1,50.00%,58.33%,61.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,49.52631666,45.50930823,34.11322813,,,,,,,,,,100,100,100,,,,,,,,
MIRZ.NS,Mirza International Ltd,Textiles & Apparel,Footwear,Footwear (NEC),0.0846446,0.064132,0.0494376,0.1023417,0.2186276,0.4584342,0.5833238,0.4987758,0.3107721,0.4601903,,,,,0.0068,,,,,,,,,,0.0139,,,0.1458,0.15,0.206,48442258.02,59181872.65,69697048.9,336221156.4,178851049.7,76945389.23,85134150.56,125391069.7,249660166.6,143497527,61.54%,46.15%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,45.3983286,30.50240853,37.51313797,26.25102118,,,,,,,,,100,100,100,100,,,,,,,,
MONC.MI,Moncler SpA,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.2669073,0.2639943,0.3145035,0.3657017,0.4383571,0.5655206,0.0902181,0.1007828,0.1998547,,0.1219,0.1271,0.13619,0.112,0.11289,0.098,0.22118,0.1972,0.19597,,0.18809,0.2001,0.2247,0.1908,0.2048,0.1729,0.3337,0.3069,0.3391,,15125744532,14009607535,15296761386,13547298105,17521172216,12953800567,10337239527,7394424334,6642772669,4135975003,58.33%,58.33%,73.33%,66.67%,58.33%,53.85%,54.55%,54.55%,50.00%,0.00%,,81.65047978,73.41395267,83.19940409,83.05995019,78.6570791,80.02380627,73.1884745,59.53633485,51.31434391,,,,100,100,100,100,100,100,100,100,100,,
MONNA.MI,Monnalisa SpA,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,1.3921715,0.9795184,0.5087422,0.5077907,0.4963144,0.3776773,0.2850963,0.4272717,0.2677908,,,,,,,,-0.1178,0.0196,,,,,,-0.1212,-0.0633,-0.2291,-0.1951,0.0338,,,4838553.372,9844244,9844244,15185270,19321947,20631022,31417800,49714149.27,,,57.14%,33.33%,40.00%,42.86%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,26.82556379,31.06756453,40.91530584,40.48495913,42.77500505,,,,,,,,100,100,100,100,100,,,,,,
MTC.L,Mothercare PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),,,,13.4666667,,21.3913043,,9.5869565,0.1953317,,-0.0978,0.13208,,,,,,-0.0042,0.0475,0.0483,,-0.21944,,-0.43,,,,,0.1935,0.1966,16096845.88,29298412.7,44222745.6,47736025.96,129674639.4,47652662.27,76346952.99,60896197.27,125103141.3,226559205.5,40.00%,33.33%,33.33%,40.00%,33.33%,40.00%,50.00%,55.56%,72.73%,66.67%,24.42949777,17.60776178,22.99906619,25.00426993,21.71862903,23.54214946,27.11325693,34.42022829,44.62775395,45.76947914,,,100,100,100,100,100,100,100,100,100,100,,
MOV.N,Movado Group Inc,Textiles & Apparel,Apparel & Accessories,Watches,0.0006204,0.0005905,,0.0001032,0.0497751,0.098409,0.1004844,0.0531536,0.0632921,,,,,,,,,,,,,,,,,,,,,,275327002.7,298144900.1,426104362,473277687.5,602626642.2,225699454.4,318329799.2,454881567.4,615764333.1,627148477.5,75.00%,75.00%,75.00%,71.43%,70.00%,72.73%,70.00%,66.67%,66.67%,0.00%,49.92348903,54.55411425,55.20466282,51.56854643,34.58981102,27.1908752,26.63580834,25.5674003,28.12294952,,,,100,100,100,100,100,100,100,100,100,,,
MUL.L,Mulberry Group PLC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),,7.4644728,1.799598,1.8188417,4.1990271,7.2567857,0.055497,,,,-0.161,-0.17292,0.02382,0.1164,,,,0.0508,0.0539,0.0293,-1.49099,-0.67827,0.07313,0.4577,,,,0.0692,0.0738,0.04032,84965344.69,92395985.63,114334948.1,156189035.9,228793556.7,153351167.7,202518147.7,198037019,713204877.7,770887105.8,37.50%,25.00%,25.00%,25.00%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,,33.77526709,28.54484457,24.11746099,21.09593835,21.05492016,,,,,,,,100,100,100,100,100,,,,,,
NEWAb.ST,New Wave Group AB,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.3276385,0.3717262,0.4666836,0.3057842,0.5557515,0.8794388,0.6240755,0.6073221,0.698495,,0.0798,0.10321,0.12565,0.1022,0.0468,0.0486,0.0558,0.0601,0.0489,,0.1288,0.18123,0.25,0.18079,0.095,0.103,0.1128,0.122,0.0683,,991699058.3,790313136.3,855321502.8,864178789,766383154.3,252211861.1,266459042.8,215640957,258330423.7,269101070.2,80.00%,75.00%,87.50%,88.89%,85.71%,85.71%,83.33%,0.00%,0.00%,0.00%,,47.95582272,50.0910845,55.24718037,53.66852112,54.17933473,45.9954617,38.49631302,,,,,,100,100,100,100,100,100,100,,,,
NKE.N,Nike Inc,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.6028911,0.6173943,0.6378892,0.6171062,0.7374481,1.1988827,0.4262168,0.4315124,0.3362618,0.1662588,0.08619,0.1596,0.1302,0.1549,0.1658,0.0922,0.1742,0.1731,0.19,0.1749,0.23289,0.4246,0.3463,0.43109,0.5501,0.297,0.4274,0.3567,0.3438,0.3012,80302813334,1.08109E+11,1.49055E+11,1.69529E+11,2.31838E+11,1.82614E+11,1.41079E+11,1.02662E+11,85071133553,80522904481,76.92%,76.92%,75.00%,75.00%,85.71%,78.57%,76.92%,69.23%,73.33%,78.57%,,66.73408813,69.70863602,73.34667425,73.22400179,75.86654183,71.851128,71.59072408,70.64944203,65.43966475,75.41321535,,,2.272727273,10.71428571,17.64705882,66.66666667,33.33333333,10,85.71428571,100,70,75,
NILb.ST,Nilorngruppen AB,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.2327813,0.3781672,0.2869584,0.2719095,0.3790715,0.6533798,0.2239015,0.2317998,0.2055141,,,,,,,0.0777,,0.2163,,,0.183,0.1254,0.3303,0.35829,0.1625,0.2571,0.4226,0.4458,0.4478,,64114616.21,59926024.24,56392958.7,78747426.1,84264447.43,41757762.77,68740339.6,69368642.02,81986191.75,84790405.5,83.33%,60.00%,85.71%,80.00%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,41.69402048,39.09014515,44.63094286,36.66344329,34.04357724,,,,,,,,100,100,100,100,100,,,,,,
ONON.N,On Holding Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.2878287,0.2268032,0.1753481,0.2131818,0.0968122,0.3135498,,,,,0.1599,0.0756,0.0691,-0.2103,,,,,,,0.2573,0.11,0.065,-0.3114,,,,,,,13099050273,17131899677,7774565073,5067345930,10295345614,,,,,,62.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,34.16340862,,,,,,,,,,,,100,,,,,,,,,,
8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.6178177,0.4934996,0.3766883,0.5134163,1.5409938,0.7594857,0.4095925,0.2807103,0.2801231,0.4123084,,,,0.003,-0.094,-0.015,0.01721,0.022,0.019,0.017,,0.086,0.043,0.139,-0.316,-0.49642,0.02955,0.033,0.028,0.024,567852065.2,570871376.6,487947875.3,348899567.8,362433167.5,257709703.6,844736150.7,740178160.8,1212582179,1119333345,33.33%,42.86%,42.86%,28.57%,33.33%,28.57%,28.57%,28.57%,25.00%,25.00%,,38.30214956,32.96286276,34.27354943,26.46825796,21.291529,17.01430189,11.43211131,10.76986819,10.30341228,12.4077732,,,100,100,100,100,100,100,100,100,100,100,
OXM.N,Oxford Industries Inc,Textiles & Apparel,Apparel & Accessories,Men's Clothing,0.0499631,0.0522433,0.2265285,0.0059094,,,0.0271618,0.1065762,0.2432909,0.1315042,,,,,,,,,,,0.17879,0.2891,0.2184,0.29519,,,0.1603,0.1519,0.1545,,433213350.1,1194748156,1415836824,1372924783,1508434096,905627470.6,1146437244,1050162881,1055090681,959178815.3,90.91%,90.91%,91.67%,90.91%,90.91%,90.00%,90.00%,90.91%,90.91%,83.33%,39.92217169,47.33113896,59.49445675,71.46299613,65.69805182,7.521700969,33.50754487,28.79901671,24.99548458,22.85153387,,,100,100,100,100,100,100,100,100,100,100,,
PAGE.NS,Page Industries Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.186053,0.1157535,0.2964127,0.1009612,0.1435725,0.2151354,0.1093907,0.0808993,0.1316965,0.1790911,0.27379,0.21179,0.238,0.2819,0.212,0.2397,0.2852,0.2707,0.2539,0.2632,0.48539,0.38359,0.4645,0.54369,0.3974,0.4304,0.4857,0.4586,0.4454,0.5217,3809752805,5983328265,4678963416,5397340235,5325859229,3452516303,3262222660,3528680707,3720583490,2131578703,46.67%,53.33%,42.86%,46.67%,50.00%,50.00%,42.86%,0.00%,0.00%,0.00%,,71.61913893,69.0215157,76.68807558,74.6121135,70.68554451,62.04446967,45.82371712,,,,,,100,100,76.47058824,66.66666667,100,100,100,,,,
PNDORA.CO,Pandora A/S,Textiles & Apparel,Apparel & Accessories,Jewelry,2.4330065,2.0853408,1.0587415,0.560777,0.8204087,1.9110307,1.0389469,0.836199,0.4431852,,0.2028,0.2069,0.248,0.216,0.0933,0.1443,0.3917,0.5341,0.4244,,0.9623,0.75709,0.7099,0.5782,0.3074,0.5061,0.4265,0.48,0.9317,,7487540205,14481941897,11142466306,6269984470,10966871711,9156781233,3879667526,3911970910,10211523321,14564720133,85.71%,87.50%,100.00%,100.00%,100.00%,90.00%,77.78%,80.00%,80.00%,72.73%,,72.93108172,76.62139173,76.80991481,75.91880845,76.05219793,75.15861172,64.99754786,57.94050697,56.45842968,53.9072818,,,100,100,100,100,100,100,100,100,100,100,
PCJE.NS,PC Jeweller Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.347355,1.4158698,1.0124209,0.8719068,0.5654965,0.6068169,0.540863,0.2874899,0.2395082,0.4028035,,,,,,,,,,,,,,,,,,0.1481,0.1458,0.1852,661810603.9,1046033207,236737076.4,438464180.2,148163002.4,112278335,120253941.1,426416718.8,2352362238,992906391.5,66.67%,71.43%,71.43%,71.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.64916867,30.19028512,35.23676839,29.08823709,,,,,,,,,100,100,100,100,,,,,,,,
PDSL.NS,PDS Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.7178838,0.8460791,0.6462343,0.7911089,0.7803448,1.3560819,1.402734,1.0152222,0.8610548,0.8449122,,,,,,,,,,,0.16297,0.1299,0.2751,0.327,,0.117,,,,,499523407,920681884.1,790494023.7,512268833.6,515316498.7,133578451.6,102254597.8,91156068.97,103172318.4,54423313.84,50.00%,60.00%,55.56%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,52.02840223,51.00423241,35.68930188,41.68177584,,,,,,,,,100,100,100,100,,,,,,,,
POHK.KL,Poh Kong Holdings Bhd,Textiles & Apparel,Apparel & Accessories,Jewelry,0.1953296,0.1778151,0.2322563,0.1999102,0.2628961,0.3077394,0.3390515,0.4216071,0.3748458,0.4905368,,,0.07824,0.06273,0.087591,,,,,,0.10943,,0.1144,0.082644,0.132635,,,,,,98467194.84,86492790.58,70072921.26,71022189.05,69350628.66,68954405.97,44761357.78,38984807.46,52021536.66,39602764.38,33.33%,50.00%,37.50%,37.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,21.11448784,19.26688869,20.42149464,17.10857193,,,,,,,,,100,100,100,100,,,,,,,
9904.TW,Pou Chen Corp,Textiles & Apparel,Footwear,Footwear (NEC),0.3332657,0.3854397,0.5178641,0.5155542,0.5637272,0.6189137,0.6460012,0.5785213,0.4719874,,0.04723,0.03246,0.03658,0.03936,,0.03545,0.03533,0.04338,0.04545,,0.11994,0.09111,0.10262,0.10356,,0.12115,0.24577,0.16221,0.18013,,2414254574,3203554530,2689144254,3079731388,3112054120,2698587434,3445299784,2748228360,3192534832,3473595261,33.33%,33.33%,45.45%,33.33%,30.00%,33.33%,40.00%,33.33%,30.00%,22.22%,,71.76844569,74.53182708,74.81472299,62.1975784,20.0097055,55.04100965,59.07044104,66.14670495,59.14201259,54.78371836,,,100,100,100,100,100,100,100,100,100,100,
1913.HK,Prada SpA,Textiles & Apparel,Apparel & Accessories,Luxury Clothing,0.6288822,0.670048,0.7609435,0.8909025,1.0117364,1.0844309,0.313735,0.3460802,0.225103,,0.10379,0.0895,0.0649,0.0436,-0.008,0.0437,0.04363,0.0463,,,0.20329,0.183,0.1411,0.099,-0.0187,0.0875,0.0718,0.0735,,,12597938671,19138846932,13258036535,13524911548,14407715242,13837500183,9435238781,7350075644,7726702259,8255371239,50.00%,41.67%,50.00%,50.00%,50.00%,50.00%,44.44%,0.00%,0.00%,0.00%,,56.3823286,56.41996956,53.76614503,44.3377714,48.56995423,48.70331492,54.18415219,,,,,,61.36363636,100,100,100,100,100,100,,,,
PDJ.BK,Pranda Jewelry PCL,Textiles & Apparel,Apparel & Accessories,Jewelry,0.4382916,0.1201688,0.1644368,0.22254,0.3491823,0.3482242,0.3358905,0.6270171,0.7135814,,,,,,,,,,,0.05146,,,,,,,,,,0.06468,20082348.83,32856747.61,29733942.06,43657884.48,45976919.44,17879053.93,21241379,24191569.52,44469519.86,43475891.16,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,47.04514417,,,,,,,,,,,,100,,,,,,,,,,
