Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CAP,CAPln,BOARD,LEV,ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Workforce Score,CSR Strategy Score,Community Score
HRMS.PA,Hermes International SCA,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Europe,2025,"224,018,292,264.00",26.13,0.3889,0.1254183,100,55.59749421,92.19,29.6,71.89,40.95,57.42,41.98,11.95,99.69,14.71,57.12,84.88,75.14,76.85
JSG.L,Johnson Service Group PLC,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,"585,838,453.55",20.19,0.7143,0.4154448,100,47.26796073,43.79,28.8,33.16,82.31,23.72,91.92,36.39,29.94,52.54,32.94,39.94,78.91,32.01
KORDS.IS,Kordsa Teknik Tekstil AS,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,"186,876,949.52",19.05,0.2857,1.083666,100,81.65638146,93.48,28.8,67.84,73.67,86.54,89.08,85.13,88.58,39.79,90.54,94.82,47.43,97.87
KTB.N,Kontoor Brands Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"2,891,638,279.19",21.79,0.8889,1.8505331,100,53.52303518,56.21,28.8,44.39,55.29,58.33,53.76,75.95,51.54,52.05,53.72,21.65,67.79,64.94
LAKE.OQ,Lakeland Industries Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"73,807,207.02",18.12,0.8571,0.1184306,100,26.55435762,1.25,0,4.33,17.24,42.9,6.67,33.02,10.87,57.16,29.4,5.86,10.21,39.2
LAMB.KL,Lambo Group Bhd,Textiles & Apparel,Footwear,Footwear Wholesale,Asia,2025,"1,616,897.32",14.3,0.6,0.0694238,100,22.99261515,3.75,0,14.14,25.68,25.81,21.63,11.95,35.71,45.32,25.36,28.09,16.43,39.2
LEVI.N,Levi Strauss & Co,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"6,893,535,001.03",22.65,0.8462,0.5072317,10.71428571,54.62294834,53.48,79.91,71.97,47.44,5.56,46.66,56.73,77.24,31.26,50.23,83.64,75.61,60.8
LULU.OQ,Lululemon Athletica Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Americas,2025,"20,755,615,859.47",23.76,0.9091,0.0028677,80.95238095,61.18884619,25.94,80.8,59.36,78.19,70.97,81.24,11.95,61.8,65.17,42.51,23.15,82.47,69.75
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,"321,008,076,300.00",26.49,0.55,0.5877437,7.142857143,81.09475061,95.96,80,91.46,53.23,86.54,63.28,93.67,99.69,25.26,91.88,96.04,44.89,91.46
MAGN.N,Magnera Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Americas,2025,"462,131,704.60",19.95,0.9167,1.8345865,100,43.4900689,3.75,29.6,12.69,77.04,57.42,87.7,43.71,2.17,92.88,35.07,1.54,0,39.2
