Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
4441.TW,Great Giant Fibre Garment Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"436,194,450.55",,,,,,,,,,,,,,0.0184183,
4442.TWO,J&B International Inc,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Americas,2025,,,"50,791,313.26",,,,,,,,,,,,,,0.0142708,
456A.T,HUMAN MADE Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"523,218,092.82",,,,,,,,,,,,,,0.051942,
462310.KQ,New Kids On Co Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,"26,707,596.92",,,,,,,,,,,,,,0.1774332,
472850.KQ,Pond Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"192,598,317.47",,,,,,,,,,,,,,0.5491072,
478560.KQ,Black Yak I&C Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"54,506,792.98",,,,,,,,,,,,,,0.0861051,
4807.TW,Regal Holding Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"19,145,617.73",,,,,,,,,,,,,,0.6872303,
481070.KQ,AU Brandz Co Ltd,Textiles & Apparel,Footwear,Footwear Wholesale,Asia,2025,,,"186,908,820.06",,,,,,,,,,,,,,0.1924579,
5321.TWO,United Recommend International Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"52,239,857.95",,,,,,,,,,,,,,3.4367143,
5340.TWO,Baotek Industrial Materials Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"370,188,168.61",,,,,,,,,,,,,,0.0019697,
5450.TWO,Nam Liong Global Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"48,395,265.10",,,,,,,,,,,,,,0.6702462,
5906.TW,Tainan Enterprise (Cayman) Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"50,017,951.89",,,,,,,,,,,,,,1.1008389,
600107.SS,Hubei Mailyard Share Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3732397,
600137.SS,Sichuan Langsha Holding Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"227,616,287.68",,,,,,,,,,,,,,0.064958,
600156.SS,Hunan Huasheng Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,"404,394,172.82",,,,,,,,,,,,,,0.5719302,
600177.SS,Youngor Fashion Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,61.29,94.21,"4,278,171,662.57",100,50.88080401,78.57,28.8,56.87,55.06,4.81,33.33,44.85,36.39,69.44,84.94,47.55,0.5214495,71.65
600232.SS,Zhejiang Golden Eagle Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"351,247,740.12",,,,,,,,,,,,,,0.3877987,
600278.SS,Orient International Enterprise Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"806,802,487.67",,,,,,,,,,,,,,0.1706225,
600287.SS,Soho Fashion Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"291,733,263.44",,,,,,,,,,,,,,0.1334412,
600398.SS,HLA Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,61.29,30.79,"3,537,743,978.26",100,43.24525161,9.63,28.8,25.54,18.01,4.81,27.27,2.45,36.39,33.64,41.04,24.71,0.1756946,30.79
600400.SS,Jiangsu Hongdou Industrial Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,,,,,,,,,,,,,,,0.3896128,
600448.SS,Huafang Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,"241,549,408.37",,,,,,,,,,,,,,1.3794485,
600493.SS,Fujian Fynex Textile Science & Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"244,401,842.50",,,,,,,,,,,,,,0.3019498,
600540.SS,Xinjiang Sailimu Modern Agriculture Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,Asia,2025,,,,,,,,,,,,,,,,,6.9337366,
600612.SS,Lao Feng Xiang Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,21.07,1.52,"2,322,603,974.35",100,5.122901207,21.43,0,5.75,11.36,0,33.33,9.75,0,0.31,10.25,1.89,0.4207724,5.79
600630.SS,Shanghai Dragon Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"467,104,915.29",,,,,,,,,,,,,,0.404724,
600689.SS,Shanghai Sanmao Enterprise Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,"277,556,231.21",,,,,,,,,,,,,,0.0322104,
600710.SS,Sumec Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"1,719,876,349.41",,,,,,,,,,,,,,0.7688183,
600805.SS,Jiangsu Yueda Investment Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"562,541,740.82",,,,,,,,,,,,,,0.6962724,
600916.SS,China National Gold Group Gold Jewellery Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,667,040,305.44",,,,,,,,,,,,,,0.5854228,
600987.SS,Zhejiang Hangmin Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,"856,341,758.57",,,,,,,,,,,,,,0.3280561,
601339.SS,Bros Eastern Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"1,057,119,848.84",,,,,,,,,,,,,,0.4148497,
601566.SS,Joeone Co Ltd,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"917,224,403.49",,,,,,,,,,,,,,0.2015455,
601599.SS,Zhewen Pictures Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"562,371,513.32",,,,,,,,,,,,,,0.5042017,
601718.SS,Jihua Group Corp Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,33.8,5.79,"1,778,758,649.70",100,48.89592994,42.55,80,56.02,72.81,0,38.46,84.44,64.56,41.67,60.04,34.61,0.2285035,61.89
603001.SS,Zhejiang Aokang Shoes Co Ltd,Textiles & Apparel,Footwear,Men's Footwear,Asia,2025,,,"436,943,171.49",,,,,,,,,,,,,,0.1246312,
603055.SS,Zhejiang Taihua New Material Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"1,023,255,893.14",,,,,,,,,,,,,,1.0326813,
603116.SS,Zhejiang Red Dragonfly Footwear Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"430,044,642.15",,,,,,,,,,,,,,0.0892797,
603130.SS,Zhejiang Yunzhongma Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"948,476,708.77",,,,,,,,,,,,,,1.021259,
603196.SS,Shanghai Porigine Chemical Material Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"736,642,713.25",,,,,,,,,,,,,,0.2803797,
603225.SS,Xinfengming Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,19.25,6.4,"3,612,146,247.07",100,30.53707619,27.64,28.8,24.37,52.41,0,37.5,52.41,26.58,17.59,74.52,13.05,1.5716387,18.6
603238.SS,HangZhou Nbond Nonwovens Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"380,807,498.29",,,,,,,,,,,,,,0.2573681,
603307.SS,Yangzhou Jinquan Travelling Goods Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0492871,
603406.SS,Yangzhou Tinfulong Group Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"1,982,186,288.20",,,,,,,,,,,,,,0.0229621,
603477.SS,Leshan Giantstar Farming & Husbandry Corp Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"1,068,784,576.47",,,,,,,,,,,,,,1.1964167,
603511.SS,Aimer Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0388917,
603518.SS,Jinhong Fashion Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"408,282,151.81",,,,,,,,,,,,,,0.3386785,
603557.SS,Qibu Corp Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,,,,,,,,,,,,,,,4.1680704,
603558.SS,Zhejiang Jasan Holding Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Hosiery & Socks,Asia,2025,,,"468,483,774.99",,,,,,,,,,,,,,0.4065389,
603587.SS,Dazzle Fashion Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"771,168,028.06",,,,,,,,,,,,,,0.066315,
603608.SS,Topscore Fashion Co Ltd,Textiles & Apparel,Footwear,Women's Footwear,Asia,2025,,,"526,348,108.93",,,,,,,,,,,,,,0.3328985,
603665.SS,ZheJiang KangLongDa Special Protection Technology Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"626,134,219.36",,,,,,,,,,,,,,1.8970221,
603808.SS,Shenzhen Ellassay Fashion Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"382,872,760.64",,,,,,,,,,,,,,0.2310476,
603839.SS,Anzheng Fashion Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"386,980,768.79",,,,,,,,,,,,,,0.1123036,
603889.SS,Zhejiang Xinao Textiles Inc,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"706,826,486.24",,,,,,,,,,,,,,0.4142344,
603958.SS,Harson Trading (China) Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"355,212,539.19",,,,,,,,,,,,,,0.4985901,
605003.SS,ZhongWang Fabric Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"476,114,600.82",,,,,,,,,,,,,,0.0462419,
605055.SS,Zhejiang Yingfeng Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,"520,176,964.72",,,,,,,,,,,,,,0.8305338,
605068.SS,Mingxin New Material Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Leather Goods,Asia,2025,,,"504,959,745.14",,,,,,,,,,,,,,0.735275,
605138.SS,Sunrise Manufacture Group Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"470,791,190.70",,,,,,,,,,,,,,1.1179902,
605155.SS,Zhejiang Xidamen New Material Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"400,606,796.71",,,,,,,,,,,,,,0.0049682,
605166.SS,Juheshun Advanced Materials Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"397,374,284.66",,,,,,,,,,,,,,1.6029918,
605189.SS,Wuhu Fuchun Dye and Weave Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"370,274,348.07",,,,,,,,,,,,,,1.3687333,
605599.SS,Beijing Caishikou Department Store Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,550,184,650.07",,,,,,,,,,,,,,0.6135177,
6168.HK,Zhou Liu Fu Jewellery Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"1,392,207,729.47",,,,,,,,,,,,,,0.283122,
6181.HK,Laopu Gold Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"11,926,288,276.19",,,,,,,,,,,,,,0.4310044,
6504.TW,Nan Liu Enterprise Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"81,772,660.01",,,,,,,,,,,,,,1.499734,
6768.TW,Sports Gear Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,,,"573,635,206.86",,,,,,,,,,,,,,0.2929615,
6838.HK,Winox Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"17,723,993.22",,,,,,,,,,,,,,0.0754093,
6890.TW,Lai Yih Footwear Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,,,"1,697,661,692.82",,,,,,,,,,,,,,0.1483159,
6965.TW,Chung Jye Investment Holding Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,,,"392,534,593.83",,,,,,,,,,,,,,0.1386567,
7112.T,Cube Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"19,986,822.09",,,,,,,,,,,,,,,
7126.T,Global Style Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"28,011,047.78",,,,,,,,,,,,,,0.8440523,
7422.T,Toho Lamac Co Ltd,Textiles & Apparel,Footwear,Footwear Wholesale,Asia,2025,,,"13,937,937.03",,,,,,,,,,,,,,0.1713241,
7460.T,Yagi & Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.3285622,
7487.T,Ozu Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1337194,
7501.T,Tiemco Ltd,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,"28,127,769.28",,,,,,,,,,,,,,0.0002044,
7638.T,New Art Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.8588397,
7683.T,WA Inc,Textiles & Apparel,Footwear,Footwear Wholesale,Asia,2025,,,"143,329,830.30",,,,,,,,,,,,,,0.0293689,
7762.T,Citizen Watch Co Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,,55.55555556,50.37123683,,,,,,,,,,,,0.2649812,
7771.T,Nihon Seimitsu Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,2.0195447,
7792.T,Colan Totte Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"72,906,476.76",,,,,,,,,,,,,,0.0024966,
7810.T,Crossfor Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"14,183,015.22",,,,,,,,,,,,,,1.6530054,
7862.TWO,Acegreen Eco-Material Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"52,217,914.92",,,,,,,,,,,,,,1.596933,
7872.T,Estelle Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.7846053,
7878.T,Kohsai Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"8,355,609.12",,,,,,,,,,,,,,0.7364341,
7936.T,Asics Corp,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,44.88,78.96,"15,013,792,127.55",100,68.41216111,75.47,28.8,64.24,53.48,86.54,58.33,68.38,75.95,91.67,9.57,73.75,0.4991743,55.18
7937.T,Tsutsumi Jewelry Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
7938.T,Regal Corp,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.7295622,
8008.T,Yondoshi Holdings Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"236,827,967.75",,,,,,,,,,,,,,0.3830744,
8011.T,Sanyo Shokai Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"217,711,481.53",,,,,,,,,,,,,,0.1940409,
8013.T,Naigai Co Ltd,Textiles & Apparel,Apparel & Accessories,Hosiery & Socks,Asia,2025,,,"13,375,144.65",,,,,,,,,,,,,,0.2540384,
8016.T,Onward Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,54.91,15.12,"567,852,065.25",100,30.6353563,61.56,80.8,52.95,30.23,29.03,28.57,8.87,11.95,18.94,84.95,23.5,0.6178177,33.64
8018.T,Sankyo Seiko Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1092462,
8025.T,Tsukamoto Corporation Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.5689382,
8026.HK,China Brilliant Global Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0,
8040.T,Tokyo Soir Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"21,538,245.89",,,,,,,,,,,,,,0.077852,
8048.HK,Yu Tak International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,"3,835,649.37",,,,,,,,,,,,,,0.0255488,
8050.T,Seiko Group Corp,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,,,,,,,,,,,,,,,0.7498323,
8101.T,GSI Creos Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.4479492,
8105.T,Bitcoin Japan Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0,
8107.T,Kimuratan Corp,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,,,,,,,,,,,,,,,7.1695218,
8111.T,Goldwin Inc,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,Asia,2025,,,,100,43.74152088,,,,,,,,,,,,0.024127,
8115.T,Moonbat Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.4441382,
8118.T,King Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0551724,
8123.T,T.Kawabe & Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3211789,
8127.T,Yamato International Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"69,580,873.06",,,,,,,,,,,,,,0.0480594,
8139.T,Nagahori Corp,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.8045597,
8143.T,Lapine Co Ltd,Textiles & Apparel,Apparel & Accessories,Women's Clothing,Asia,2025,,,"2,906,693.18",,,,,,,,,,,,,,1.8656259,
8187.HK,Jimu Group Ltd,Textiles & Apparel,Footwear,Footwear Wholesale,Asia,2025,,,"8,297,664.66",,,,,,,,,,,,,,0.1024641,
8219.HK,Hanvey Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,"4,739,863.74",,,,,,,,,,,,,,5.1223046,
8269.HK,Go Up Education Technology Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.8641873,
8285.HK,Sling Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"2,266,920.61",,,,,,,,,,,,,,,
8297.HK,Ocean Star Technology Group Ltd,Textiles & Apparel,Apparel & Accessories,Lingerie,Asia,2025,,,,,,,,,,,,,,,,,,
8300.HK,JIN MI Fang Group Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
8377.HK,Harbour Equine Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"7,358,633.81",,,,,,,,,,,,,,,
8404.TW,Paiho Shih Holdings Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Americas,2025,,,"263,596,638.95",,,,,,,,,,,,,,1.4782206,
8429.TW,Jinli Group Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Americas,2025,,,"39,117,476.78",,,,,,,,,,,,,,0,
8442.TW,WW Holding Inc,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Americas,2025,,,"133,854,845.68",,,,,,,,,,,,,,0.329777,
8443.TW,Shui-Mu International Co Ltd,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,,,"20,148,671.25",,,,,,,,,,,,,,0.5395024,
8456.HK,Mansion International Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Children's & Infants' Clothing,Asia,2025,,,,,,,,,,,,,,,,,14.0089787,
8480.HK,Furniweb Holdings Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"13,738,473.00",,,,,,,,,,,,,,0.1397151,
8507.HK,i.century Holding Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,1.1972981,
8521.HK,WebX International Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"86,690,020.15",,,,,,,,,,,,,,0.2569209,
8537.HK,Chong Fai Jewellery Group Holdings Co Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,#N/A,#N/A,,,,,,,,,,,,0.3103285,
8916.TWO,Kwong Lung Enterprise Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"204,536,060.85",,,,,,,,,,,,,,0.3652639,
8932.TWO,Wiselink Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"814,648,512.99",,,,,,,,,,,,,,0.3695212,
900110.KQ,East Asia Holdings Investment Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,,,,,,,,,,,,,,,,,0,
920527.BJE,Zhejiang Ygm Technology Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.283283,
920694.BJE,ZYfire Hose Corp,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3079397,
9618.SE,Al-Fakhera Men Tailoring Company SCJSC,Textiles & Apparel,Apparel & Accessories,Men's Clothing,Asia,2025,,,"55,570,977.15",,,,,,,,,,,,,,0.7315127,
9802.TW,Fulgent Sun International (Holding) Co Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,,,"557,089,799.72",,,,,,,,,,,,,,0.2348863,
9837.T,Morito Co Ltd,Textiles & Apparel,Apparel & Accessories,Accessories,Asia,2025,,,"246,558,886.12",,,,,,,,,,,,,,0.0412491,
9885.T,Charle Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.0007714,
9904.TW,Pou Chen Corp,Textiles & Apparel,Footwear,Footwear (NEC),Asia,2025,60.53,80.79,"2,414,254,573.72",100,71.75140592,89.75,28.8,61.18,65.2,86.54,33.33,85.31,68.67,73.15,1.32,78.88,0.3332657,78.96
9910.TW,Feng Tay Enterprises Co Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,Asia,2025,60.53,69.82,"3,126,096,991.73",100,64.65628079,89.13,28.8,63.52,63.44,58.33,31.25,67.32,48.1,79.94,52.41,65.29,0.2427268,85.06
9938.TW,Taiwan Paiho Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,4.85,61.42,"408,885,773.99",100,58.11474553,83.23,29.49,53.67,60.01,87.91,38.46,67.18,40.71,56.73,72.91,58.14,0.7068711,41.05
9944.TW,Shinih Enterprise Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"49,068,245.54",,,,,,,,,,,,,,0.5686805,
9950.TWO,Eminent Luggage Corp,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,Asia,2025,,,"48,308,920.28",,,,,,,,,,,,,,1.4873519,
9980.T,MRK Holdings Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.105,
9982.T,Takihyo Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"108,552,977.04",,,,,,,,,,,,,,0.3130803,
AAHG.F,Ahlers AG,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Europe,2025,,,,18.75,33.69601745,,,,,,,,,,,,1.0847167,
AARA.NS,Aarnav Fashions Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.5301553,
AAT.HM,Tien Son Thanh Hoa Group JSC,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"7,406,767.58",,,,,,,,,,,,,,0.5070521,
AAYS.BO,Aayush Art and Bullion Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.0039707,
ABCO.NS,A B Cotspin India Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,1.4968467,
ABSH.NS,Mahaalaxmi Texpro Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,,
ACGC.CA,Arab Cotton Ginning Co,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Africa,2025,,,,,,,,,,,,,,,,,0.3106236,
ACKT.BO,Acknit Industries Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.671709,
ACRO.BO,Acrow India Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0,
