Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
IACR.BO,Indian Acrylics Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,,,,,,,,,,,,,,,18.1309405,
IASX.BX,Iasitex SA,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Europe,2025,,,,,,,,,,,,,,,,,,
IBFL.PSX,Ibrahim Fibres Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,"268,910,352.67",,,,,,,,,,,,,,0.2270581,
ICC.BK,ICC International PCL,Textiles & Apparel,Apparel & Accessories,Apparel Wholesale,Asia,2025,,,"331,923,535.96",,,,,,,,,,,,,,0.0261067,
ICNT.NS,Indo Count Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,100,67.48041552,,,,,,,,,,,,0.6360812,
IDES.PSX,Ideal Spinning Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,9.7665902,
IDOC.BO,Indo Cotspin Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0025838,
IDTX.PSX,Idrees Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,1.3899204,
IFA.TO,iFabric Corp,Textiles & Apparel,Apparel & Accessories,Lingerie,Americas,2025,,,"34,587,649.63",,,,,,,,,,,,,,0.0813994,
IFLE.BO,IFL Enterprises Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.0460752,
IGCI.BO,IGC Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,,
IMAG.PSX,Image Pakistan Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.3053987,
IMOS.ISX,Modern Sewing Co,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,"14,822,820.58",,,,,,,,,,,,,,,
INDR.JK,Indo-Rama Synthetics Tbk PT,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,Asia,2025,,,"93,096,419.70",,,,,,,,,,,,,,0.293923,
INDU.NS,Indus Fila Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,,,,,,,,,,,,,,,,
INDY.PSX,Indus Dyeing & Manufacturing Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,1.5524802,
INGS.NS,Integra Essentia Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.1556767,
INOV.JK,Inocycle Technology Group Tbk PT,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,"11,467,742.21",,,,,,,,,,,,,,1.9638377,
