Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD
3818.HK_2022,2022,218376909.8,0,0,100,58.03074212,0.43,-0.1673,0.0248971,3818.HK,China Dongxiang (Group) Co Ltd,Apparel & Accessories,5436951.761,-0.004165285,-36534457.01,0.02798929,0.1849,4.76885E+16,93902071.21
3818.HK_2021,2021,451750341.6,0,0,100,44.54869613,0.43,0.12835,0.0187447,3818.HK,China Dongxiang (Group) Co Ltd,Apparel & Accessories,8467924.628,0.002405882,57982156.34,0.016473723,0.1849,2.04078E+17,194252646.9
3818.HK_2020,2020,503571878.7,0,0,100,43.63684276,0.5,0.0351,0.0319719,3818.HK,China Dongxiang (Group) Co Ltd,Apparel & Accessories,16100149.75,0.001122214,17675372.94,0.00123201,0.25,2.53585E+17,251785939.4
0116.HK_2023,2023,705928408.2,0,0,100,42.28066894,0.5,0.0367,0.4738815,0116.HK,Chow Sang Sang Holdings International Ltd,Apparel & Accessories,334526413,0.017391451,25907572.58,0.00134689,0.25,4.98335E+17,352964204.1
1929.HK_2024,2024,8358375450,0,0,100,62.1656517,0.41,0.247,1.1176007,1929.HK,Chow Tai Fook Jewellery Group Ltd,Apparel & Accessories,9341326254,0.276047373,2064518736,0.061009,0.1681,6.98624E+19,3426933935
1929.HK_2023,2023,13467610575,0,0,100,67.28710714,0.41,0.16309,0.6626598,1929.HK,Chow Tai Fook Jewellery Group Ltd,Apparel & Accessories,8924444130,0.108073187,2196432609,0.026598348,0.1681,1.81377E+20,5521720336
1929.HK_2022,2022,19048143927,0,0,100,66.9047147,0.33,0.2085,0.7518398,1929.HK,Chow Tai Fook Jewellery Group Ltd,Apparel & Accessories,14321152720,0.156758598,3971538009,0.04347225,0.1089,3.62832E+20,6285887496
1929.HK_2021,2021,15819842992,0,0,100,53.5857271,0.33,0.20522,0.4320664,1929.HK,Chow Tai Fook Jewellery Group Ltd,Apparel & Accessories,6835222610,0.088668667,3246548179,0.042115248,0.1089,2.50267E+20,5220548187
1929.HK_2020,2020,10297976085,0,0,100,52.95993515,0.32,0.083,0.9080131,1929.HK,Chow Tai Fook Jewellery Group Ltd,Apparel & Accessories,9350697189,0.075365087,854732015.1,0.006889,0.1024,1.06048E+20,3295352347
002867.SZ_2024,2024,2107161886,0,0,100,38.951004,0.36,0.2109,0.1115529,002867.SZ,Chow Tai Seng Jewellery Co Ltd,Apparel & Accessories,235060019.2,0.023526507,444400441.8,0.04447881,0.1296,4.44013E+18,758578279
002867.SZ_2023,2023,2123830525,0,0,100,20.6973572,0.36,0.1844,0.1131479,002867.SZ,Chow Tai Seng Jewellery Co Ltd,Apparel & Accessories,240306963.9,0.020864473,391634348.8,0.03400336,0.1296,4.51066E+18,764578989
002867.SZ_2022,2022,2083046748,0,0,100,19.92401904,0.42,0.2133,0.0348576,002867.SZ,Chow Tai Seng Jewellery Co Ltd,Apparel & Accessories,72610010.32,0.007435126,444313871.3,0.04549689,0.1764,4.33908E+18,874879634.2
002867.SZ_2021,2021,2699158220,0,0,100,20.02544539,0.36,0.2013,0.0341274,002867.SZ,Chow Tai Seng Jewellery Co Ltd,Apparel & Accessories,92115252.24,0.006869846,543340549.7,0.04052169,0.1296,7.28546E+18,971696959.2
DIOR.PA_2021,2021,1.32E+11,0,0,100,71.53165374,0.44,0.2339,1.044228,DIOR.PA,Christian Dior SE,Apparel & Accessories,1.37838E+11,0.244244929,30874800000,0.05470921,0.1936,1.7424E+22,58080000000
