Primary Key,Year,Company Market Cap,Has Controversy,Has Grave Controversy (<50.0),ESG Controversies Score,ESG Score,Independent Board Members,Return on Equity - Actual,Total Debt Percentage of Total Equity,Identifier (RIC),Company Name,TRBC Industry Name,CAPxLEV,ROExLEV,CAPxROE,ROEsq,BOARDsq,CAPsq,CAPxBOARD,Propensity_Score
DECK.N_2022,2022,9871455991,0,0,100,67.84211478,0.91,0.303,0.0003568,DECK.N,Deckers Outdoor Corp,Footwear,3522135.498,0.00010811,2991051165,0.091809,0.8281,9.74E+19,8983024952,0.308231256
DECK.N_2025,2025,12864568206,1,0,53.57142857,61.37137644,0.82,0.4182,0.00038,DECK.N,Deckers Outdoor Corp,Footwear,4888535.918,0.000158916,5379962424,0.17489124,0.6724,1.65E+20,10548945929,0.306631014
LULU.OQ_2025,2025,20755615859,1,1,5.357142857,55.60114616,0.91,0.4242,0.0028677,LULU.OQ,Lululemon Athletica Inc,Apparel & Accessories,59520879.6,0.001216478,8804532247,0.17994564,0.8281,4.31E+20,18887610432,0.297822188
CROX.OQ_2024,2024,5977419026,1,1,15.90909091,63.13675396,0.88,0.6564,1.1447126,CROX.OQ,Crocs Inc,Footwear,6842426875,0.751389351,3923577849,0.43086096,0.7744,3.57E+19,5260128743,0.287229451
VFC.N_2020,2020,27274440681,0,0,100,72.27971944,0.92,0.28,1.1431984,VFC.N,VF Corp,Apparel & Accessories,31180096947,0.320095552,7636843391,0.0784,0.8464,7.44E+20,25092485427,0.285292474
CROX.OQ_2023,2023,5126456077,1,1,39.28571429,63.27886694,0.88,1.62819,2.8393459,CROX.OQ,Crocs Inc,Footwear,14555782044,4.622994601,8346844520,2.651002676,0.7744,2.63E+19,4511281348,0.2816907
CROX.OQ_2020,2020,3463016449,0,0,100,5.229710877,0.88,0.8193,1.5541488,CROX.OQ,Crocs Inc,Footwear,5382042859,1.273314112,2837249377,0.67125249,0.7744,1.20E+19,3047454475,0.276747357
DECK.N_2020,2020,6594571580,0,0,100,60.99469696,0.9,0.2527,0.0271033,DECK.N,Deckers Outdoor Corp,Footwear,178734651.9,0.006849004,1666448238,0.06385729,0.81,4.35E+19,5935114422,0.266455336
PNDORA.CO_2023,2023,11142466306,0,0,100,76.62139173,1,0.7099,1.0587415,PNDORA.CO,Pandora A/S,Apparel & Accessories,11796991491,0.751600591,7910036831,0.50395801,1,1.24E+20,11142466306,0.256922416
DECK.N_2019,2019,4214129705,0,0,100,57.49680642,0.92,0.2663,0.0301436,DECK.N,Deckers Outdoor Corp,Footwear,127029040.2,0.008027241,1122222740,0.07091569,0.8464,1.78E+19,3876999329,0.255535858
DIOR.PA_2019,2019,82455833309,0,0,100,71.67057252,0.44,0.18206,0.3265974,DIOR.PA,Christian Dior SE,Apparel & Accessories,26929860774,0.059460323,15011909012,0.033145844,0.1936,6.80E+21,36280566656,0.254519017
